Gender,FINAL STUDENT WEIGHT,National Centre 6-digit Code,Out-of-School Study Time - Homework,Out-of-School Study Time - With Parent,Out-of-School Study Time - Computer,OECD country,No of ALL <class period> a week,Student-Teacher Relation - Get Along with Teachers,Mother<Highest Schooling>,Father<Highest Schooling>,Truancy - Late for School,Truancy - Skip whole school day,Truancy - Skip classes within school day,father Highest Schooling
Male,23.4787,Sweden ,5.0,3.0,4.0,OECD,23.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Male,113.5285,Republic of Korea,0.0,0.0,0.0,OECD,32.0,Strongly agree,<ISCED level 3A> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,1.4265,Montenegro ,5.0,1.0,3.0,Non-OECD,32.0,Strongly agree,<ISCED level 2> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,20.6478,Portugal ,5.0,1.0,1.0,OECD,41.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Male,139.036,France ,5.0,0.0,1.0,OECD,3.0,,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Male,8.4702,Italy,3.0,0.0,0.0,OECD,40.0,,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,One or two times  ,1.0,level 3
Female,39.2511,Canada ,6.0,0.0,0.0,OECD,20.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,26.7511,Romania,20.0,10.0,4.0,Non-OECD,29.0,Strongly agree,"<ISCED level 3B, 3C> ",<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,5.3331,United Arab Emirates ,7.0,7.0,12.0,Non-OECD,45.0,,<ISCED level 3A> ,<ISCED level 3A> ,Five or more times  ,None  ,2.0,level 3
Female,1.0,Switzerland,8.0,1.0,0.0,OECD,38.0,Agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",One or two times  ,None  ,1.0,level 3
Female,1.0889,Luxembourg ,2.0,0.0,0.0,OECD,30.0,Agree,<ISCED level 3A> ,<ISCED level 2> ,One or two times  ,None  ,1.0,level 2
Female,31.4484,Tunisia,,,,Non-OECD,35.0,Disagree,<ISCED level 1> ,He did not complete <ISCED level 1> ,None  ,None  ,1.0,less than level 1
Female,123.089,Germany,5.0,1.0,1.0,OECD,34.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,14.0626,Mexico ,10.0,0.0,1.0,OECD,34.0,,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,None  ,None  ,2.0,level 3
Male,23.715,Kazakhstan ,12.0,0.0,7.0,Non-OECD,38.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,4.6571,Spain,3.0,0.0,0.0,OECD,30.0,Disagree,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",One or two times  ,None  ,1.0,level 3
Female,1.0,Macao-China,9.0,0.0,0.0,Non-OECD,42.0,Strongly agree,<ISCED level 2> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,1.575,Italy,4.0,1.0,0.0,OECD,32.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,180.1589,Viet Nam ,2.0,2.0,1.0,Non-OECD,28.0,,<ISCED level 2> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Male,23.8936,Brazil ,16.0,0.0,0.0,Non-OECD,30.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,16.4744,Czech Republic ,5.0,0.0,0.0,OECD,36.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,3.0878,United Arab Emirates ,1.0,1.0,1.0,Non-OECD,7.0,,,<ISCED level 2> ,None  ,One or two times  ,1.0,level 2
Male,7.3429,Uruguay,4.0,0.0,0.0,Non-OECD,32.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,Three or four times  ,2.0,level 3
Female,27.3982,Mexico ,3.0,2.0,,OECD,37.0,Strongly agree,<ISCED level 2> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Female,10.6418,United Kingdom (excl.Scotland) ,2.0,1.0,,OECD,25.0,Agree,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,One or two times  ,None  ,2.0,level 3
Male,4.211,Spain,4.0,0.0,1.0,OECD,30.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,One or two times  ,1.0,level 3
Male,2.2286,Ireland,12.0,0.0,0.0,OECD,45.0,Agree,<ISCED level 3A> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Male,154.6085,Thailand ,4.0,0.0,0.0,Non-OECD,40.0,Strongly agree,<ISCED level 1> ,<ISCED level 2> ,None  ,One or two times  ,1.0,level 2
Male,16.4824,Hong Kong-China,2.0,0.0,0.0,Non-OECD,36.0,Strongly agree,<ISCED level 1> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,5.7989,United Arab Emirates ,3.0,1.0,3.0,Non-OECD,40.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,One or two times  ,1.0,level 3
Female,14.3602,Israel ,2.0,0.0,1.0,OECD,40.0,,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",One or two times  ,None  ,1.0,level 3
Female,7.2256,Singapore,28.0,0.0,1.0,Non-OECD,24.0,Strongly agree,<ISCED level 2> ,<ISCED level 3A> ,None  ,One or two times  ,2.0,level 3
Male,3.6246,Spain,6.0,0.0,0.0,OECD,30.0,,<ISCED level 3A> ,<ISCED level 3A> ,Three or four times  ,None  ,1.0,level 3
Male,176.15,Turkey ,8.0,10.0,1.0,OECD,35.0,Agree,She did not complete <ISCED level 1> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Female,72.7143,Mexico ,2.0,1.0,3.0,OECD,30.0,Agree,<ISCED level 1> ,<ISCED level 1> ,One or two times  ,One or two times  ,1.0,level 1
Male,9.8951,Latvia ,1.0,0.0,0.0,Non-OECD,33.0,Strongly agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,1.0,Macao-China,1.0,0.0,0.0,Non-OECD,40.0,,<ISCED level 1> ,<ISCED level 2> ,One or two times  ,None  ,1.0,level 2
Female,7.975,Jordan ,1.0,,1.0,Non-OECD,30.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,One or two times  ,1.0,level 3
Female,10.4514,Croatia,8.0,8.0,4.0,Non-OECD,32.0,,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,5.0571,United Arab Emirates ,4.0,1.0,2.0,Non-OECD,45.0,,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",One or two times  ,None  ,1.0,level 3
Male,4.7417,Switzerland,2.0,0.0,2.0,OECD,32.0,Strongly agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,23.7935,Tunisia,1.0,1.0,0.0,Non-OECD,31.0,Agree,<ISCED level 1> ,<ISCED level 3A> ,One or two times  ,Three or four times  ,1.0,level 3
Female,1.0,Macao-China,7.0,0.0,0.0,Non-OECD,30.0,,<ISCED level 2> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Male,2.8493,Spain,2.0,0.0,0.0,OECD,30.0,Agree,<ISCED level 2> ,<ISCED level 3A> ,One or two times  ,None  ,2.0,level 3
Male,1.037,Macao-China,5.0,0.0,0.0,Non-OECD,40.0,,<ISCED level 2> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,7.0729,Uruguay,3.0,0.0,0.0,Non-OECD,36.0,Disagree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,2.767,Montenegro ,1.0,1.0,1.0,Non-OECD,31.0,,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",,One or two times  ,3.0,level 3
Male,1.6485,Switzerland,3.0,0.0,0.0,OECD,34.0,,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Female,12.201,Serbia ,2.0,5.0,0.0,Non-OECD,32.0,,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",One or two times  ,None  ,1.0,level 3
Male,14.9582,Denmark,12.0,0.0,1.0,OECD,27.0,Agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",One or two times  ,None  ,1.0,level 3
Male,150.874,United Kingdom (excl.Scotland) ,3.0,0.0,0.0,OECD,35.0,Strongly agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,One or two times  ,1.0,level 3
Female,52.8396,Chinese Taipei ,2.0,2.0,2.0,Non-OECD,35.0,,<ISCED level 2> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,49.7311,Colombia ,5.0,,,Non-OECD,30.0,,<ISCED level 1> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Male,13.9557,Hong Kong-China,2.0,0.0,0.0,Non-OECD,28.0,,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,8.4869,Australia,5.0,1.0,0.0,OECD,30.0,,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,12.91,Norway ,2.0,0.0,0.0,OECD,30.0,,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,15.4062,Hong Kong-China,2.0,0.0,0.0,Non-OECD,40.0,,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Female,3.99,Spain,0.0,0.0,0.0,OECD,30.0,,<ISCED level 3A> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,11.6608,Chile,10.0,1.0,1.0,OECD,41.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,26.7511,Romania,6.0,0.0,0.0,Non-OECD,30.0,,<ISCED level 2> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,2.8286,Spain,1.0,0.0,0.0,OECD,30.0,Agree,<ISCED level 2> ,<ISCED level 3A> ,None  ,None  ,4.0,level 3
Female,4.9508,United Arab Emirates ,2.0,3.0,4.0,Non-OECD,40.0,,<ISCED level 2> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,168.6954,Japan,10.0,1.0,0.0,OECD,31.0,Strongly disagree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,140.5047,Thailand ,1.0,2.0,1.0,Non-OECD,40.0,Agree,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,Three or four times  ,None  ,1.0,level 3
Female,5.0571,United Arab Emirates ,8.0,0.0,0.0,Non-OECD,45.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,Three or four times  ,One or two times  ,1.0,level 3
Male,11.0566,New Zealand,4.0,0.0,1.0,OECD,25.0,Agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,14.7996,Brazil ,1.0,0.0,0.0,Non-OECD,20.0,Disagree,<ISCED level 2> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Male,4.5058,Spain,3.0,0.0,0.0,OECD,30.0,Strongly agree,<ISCED level 2> ,<ISCED level 2> ,None  ,Five or more times  ,4.0,level 2
Female,2.2286,Estonia,6.0,0.0,2.0,OECD,36.0,,<ISCED level 3A> ,<ISCED level 2> ,One or two times  ,None  ,1.0,level 2
Male,11.0778,Belgium,15.0,0.0,5.0,OECD,32.0,Disagree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,1.9577,Estonia,12.0,1.0,3.0,OECD,32.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,One or two times  ,1.0,level 3
Female,6.5363,Finland,1.0,0.0,0.0,OECD,18.0,Agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",One or two times  ,None  ,2.0,level 3
Female,1.3688,Montenegro ,1.0,0.0,1.0,Non-OECD,32.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,One or two times  ,1.0,level 3
Female,77.6947,Canada ,30.0,0.0,0.0,OECD,20.0,,<ISCED level 3A> ,<ISCED level 3A> ,Three or four times  ,None  ,3.0,level 3
Female,197.5249,Germany,6.0,0.0,0.0,OECD,32.0,,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,3.7897,Spain,2.0,3.0,4.0,OECD,30.0,,<ISCED level 2> ,<ISCED level 2> ,None  ,None  ,2.0,level 2
Male,2.4487,Costa Rica ,2.0,0.0,2.0,Non-OECD,42.0,,<ISCED level 2> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Male,10.0452,Slovak Republic,1.0,2.0,1.0,OECD,25.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,6.3546,Canada ,6.0,0.0,0.0,OECD,15.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,8.3685,Slovak Republic,0.0,0.0,0.0,OECD,31.0,,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,15.3386,Hungary,6.0,2.0,,OECD,35.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,13.5469,Denmark,1.0,0.0,0.0,OECD,31.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,3.0499,Spain,3.0,0.0,1.0,OECD,30.0,Disagree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,1.0139,Macao-China,14.0,7.0,4.0,Non-OECD,40.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,16.8476,China (Shanghai) ,14.0,0.0,0.0,Non-OECD,36.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,10.8991,Norway ,12.0,5.0,0.0,OECD,29.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,15.5236,Greece ,3.0,0.0,0.0,OECD,33.0,,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Male,128.6172,Brazil ,30.0,0.0,30.0,Non-OECD,25.0,Agree,<ISCED level 3A> ,<ISCED level 1> ,Five or more times  ,One or two times  ,2.0,level 1
Male,29.5095,Tunisia,2.0,1.0,2.0,Non-OECD,10.0,Strongly agree,<ISCED level 2> ,<ISCED level 2> ,None  ,One or two times  ,1.0,level 2
Male,177.5976,Turkey ,4.0,0.0,2.0,OECD,35.0,,<ISCED level 1> ,<ISCED level 2> ,One or two times  ,Five or more times  ,4.0,level 2
Female,4.1433,Canada ,1.0,0.0,0.0,OECD,25.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,1.0535,Switzerland,1.0,0.0,0.0,OECD,38.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,1.0,Macao-China,1.0,0.0,0.0,Non-OECD,40.0,Strongly agree,<ISCED level 2> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,169.881,Turkey ,2.0,0.0,0.0,OECD,35.0,,<ISCED level 3A> ,<ISCED level 1> ,None  ,One or two times  ,2.0,level 1
Male,183.4691,Turkey ,,,,OECD,30.0,Agree,<ISCED level 1> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,28.9851,Mexico ,2.0,1.0,2.0,OECD,35.0,,<ISCED level 1> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Male,23.9974,Australia,5.0,5.0,0.0,OECD,33.0,Agree,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,Three or four times  ,One or two times  ,2.0,level 3
Female,11.47,Costa Rica ,1.0,0.0,1.0,Non-OECD,56.0,,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,2.0,level 3
Female,12.4832,United Kingdom (excl.Scotland) ,15.0,13.0,15.0,OECD,25.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,209.3512,Viet Nam ,7.0,0.0,2.0,Non-OECD,30.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,45.2909,Mexico ,1.0,1.0,,OECD,14.0,Agree,<ISCED level 1> ,<ISCED level 1> ,One or two times  ,None  ,1.0,level 1
Female,8.3786,Jordan ,2.0,1.0,1.0,Non-OECD,35.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,20.0789,Brazil ,4.0,0.0,2.0,Non-OECD,25.0,,<ISCED level 3A> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,1.1111,Iceland,2.0,0.0,0.0,OECD,38.0,,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,1.2264,Switzerland,9.0,1.0,8.0,OECD,11.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,22.0038,Brazil ,,,,Non-OECD,5.0,,<ISCED level 1> ,<ISCED level 3A> ,Three or four times  ,Three or four times  ,3.0,level 3
Female,18.3897,Brazil ,5.0,,,Non-OECD,21.0,Agree,She did not complete <ISCED level 1> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Female,15.5844,Hong Kong-China,7.0,0.0,1.0,Non-OECD,45.0,Agree,<ISCED level 1> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Male,1.3797,Switzerland,1.0,1.0,1.0,OECD,32.0,,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,10.1255,United Kingdom (excl.Scotland) ,1.0,0.0,0.0,OECD,25.0,Strongly agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",One or two times  ,One or two times  ,1.0,level 3
Male,100.1991,Poland ,3.0,0.0,1.0,OECD,34.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
